,IATA,airport,city,country,pagerank
2571,ARI,Chacalluta,Arica,Chile,9.90974299769e-05
2957,IXA,Agartala,Agartala,India,9.89862140146e-05
594,NOC,Ireland West Knock,Connaught,Ireland,9.89610392861e-05
5194,PTJ,Portland Airport,Portland,Australia,9.89327338129e-05
104,YPL,Pickle Lake,Pickle Lake,Canada,9.88295558904e-05
4128,YGH,Fort Good Hope,Fort Good Hope,Canada,9.87633984238e-05
3249,KTA,Karratha,Karratha,Australia,9.86360576015e-05
7442,YTY,Yangzhou Taizhou Airport,Yangzhou,China,9.86162406882e-05
3008,IXC,Chandigarh,Chandigarh,India,9.84399665883e-05
1451,JSI,Alexandros Papadiamantis,Skiathos,Greece,9.8413002521e-05
2189,SPN,Francisco C Ada Saipan Intl,Saipan,Northern Mariana Islands,9.83947224632e-05
4854,YNO,North Spirit Lake Airport,North Spirit Lake,Canada,9.83015649004e-05
4343,LNV,Londolovit Airport,Londolovit,Papua New Guinea,9.82154237862e-05
617,FAE,Vagar,Vagar,Faroe Islands,9.81230523637e-05
3264,RCM,Richmond,Richmond,Australia,9.81225933034e-05
1928,WLS,Wallis,Wallis,Wallis and Futuna,9.80602941502e-05
4004,HSV,Huntsville International Airport-Carl T Jones Field,Huntsville,United States,9.79502390496e-05
2969,IMF,Imphal,Imphal,India,9.78884582069e-05
5256,LYG,Lianyungang Airport,Lianyungang,China,9.78844916988e-05
1399,MLH,Bale Mulhouse,Mulhouse,France,9.75609875985e-05
61,YGL,La Grande Riviere,La Grande Riviere,Canada,9.75406946185e-05
2255,KMJ,Kumamoto,Kumamoto,Japan,9.74292010124e-05
64,YGR,Iles De La Madeleine,Iles De La Madeleine,Canada,9.73960062062e-05
5121,BQL,Boulia Airport,Boulia,Australia,9.73863283801e-05
4852,KIF,Kingfisher Lake Airport,Kingfisher Lake,Canada,9.73693321831e-05
5485,GBT,Gorgan Airport,Gorgan,Iran,9.72861535953e-05
2503,IMP,Prefeito Renato Moreira,Imperatriz,Brazil,9.69794689516e-05
1909,FPO,Grand Bahama Intl,Freeport,Bahamas,9.69769934077e-05
1780,BJX,Guanajuato Intl,Del Bajio,Mexico,9.68023368473e-05
5010,SLY,Salekhard Airport,Salekhard,Russia,9.67395306702e-05
622,AES,Vigra,Alesund,Norway,9.66462297661e-05
117,YQQ,Comox,Comox,Canada,9.66186240211e-05
2276,MYJ,Matsuyama,Matsuyama,Japan,9.66025147628e-05
2819,UVF,Hewanorra Intl,Hewandorra,Saint Lucia,9.6431017075e-05
3234,ROK,Rockhampton,Rockhampton,Australia,9.63984159695e-05
4843,YAC,Cat Lake Airport,Cat Lake,Canada,9.63785872865e-05
3361,DLG,Dillingham,Dillingham,United States,9.63774265857e-05
4876,JNS,Narsaq Heliport,Narsaq,Greenland,9.63693030884e-05
5267,YIW,Yiwu Airport,Yiwu,China,9.63223589172e-05
2849,BQS,Ignatyevo,Blagoveschensk,Russia,9.62675328116e-05
1074,NKC,Nouakchott,Nouakschott,Mauritania,9.62050261666e-05
4819,YHO,Hopedale Airport,Hopedale,Canada,9.61424548918e-05
3160,TTE,Sultan Babullah,Ternate,Indonesia,9.61416476664e-05
2270,OKJ,Okayama,Okayama,Japan,9.61060874675e-05
9,THU,Thule Air Base,Thule,Greenland,9.57714786611e-05
542,NWI,Norwich,Norwich,United Kingdom,9.57627416111e-05
1092,DIR,Dire Dawa Intl,Dire Dawa,Ethiopia,9.56447147088e-05
6826,FBA,Fonte Boa Airport,Fonte Boa,Brazil,9.56138729605e-05
5645,GDV,Dawson Community Airport,Glendive,United States,9.55726909852e-05
5224,BHY,Beihai Airport,Beihai,China,9.54127651022e-05
4127,ZFN,Tulita,Tulita,Canada,9.52846150642e-05
2818,SLU,George F L Charles,Castries,Saint Lucia,9.52670804775e-05
6105,SJL,Sao Gabriel da Cachoeira Airport,Sao Gabriel da Cachoeira,Brazil,9.52360205831e-05
644,MJF,Kjaerstad,Mosjoen,Norway,9.51401525336e-05
1954,MAU,Maupiti,Maupiti,French Polynesia,9.51174460767e-05
1766,CZM,Cozumel Intl,Cozumel,Mexico,9.50212676973e-05
3514,SAV,Savannah Hilton Head Intl,Savannah,United States,9.50063757575e-05
4422,PBJ,Tavie Airport,Paama Island,Vanuatu,9.4983394933e-05
653,SSJ,Stokka,Sandnessjoen,Norway,9.49824450602e-05
5795,AIN,Wainwright Airport,Wainwright,United States,9.49035618898e-05
5518,ATK,Atqasuk Edward Burnell Sr Memorial Airport,Atqasuk,United States,9.49035618898e-05
